# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Mehrnaz Mikhchian
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Sample.formula:FeS
# Sample.smiles:[Fe+2].[S-2]
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Iron (II) Sulfide
# Scan.number:scan1
# Sample.id:ozq8kn
# Scan.start_time:2024-05-11
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:SXRMB
# Beamline.scan_type:XAFS
# Beamline.scan_mode:TEY
# Beamline.website:https://sxrmb.lightsource.ca/
# Beamline.detector:Sample Current
# Beamline.energy_range:1.7 - 10.0
# Beamline.flux:1E11 ph/s
# Mono.name:InSb(111), Si(111)
# Element.edge:K
# Beamline_scan_mode:TEY
# Column.1:Energy
# Column.2:I0
# Column.6:TEY
# Column.7:Ifluor
# Column.5:Mufluor
# Energy  I0       TEY      Ifluor    Mufluor                 
7687.6    140623   0.8391268437293274       282206   895.695  
7692.29   141171   0.8396445568281015       283425   914.005  
7697      141598   0.8399722908901204       284358   913.975  
7701.74   142087   0.8402741521663428       285410   906.631  
7706.49   143262   0.8413340813607564       288018   962.056  
7711.25   143844   0.8418279940937906       289304   981.593  
7716.04   144401   0.8419457325204575       290452   960.881  
7720.85   144891   0.8425184286024039       291573   985.47   
7725.68   143188   0.8449410888705513       288712   918.421  
7730.52   145543   0.8459035665537564       293689   966.704  
7735.39   145712   0.8470516546663481       294303   901.093  
7740.27   146082   0.8487409955980741       295453   985.03   
7745.17   146809   0.8490984543960919       297009   986.068  
7750.1    147607   0.849611483450156        298747   966.544  
7755.04   148561   0.8509280878768223       300997   1017.76  
7760      149403   0.8522531539528031       303026   966.57   
7764.97   150134   0.8524382787168345       304554   996.247  
7769.97   150917   0.8532611764061309       306345   1006.32  
7774.99   151712   0.8532904098944345       307966   960.193  
7780.03   152444   0.852904825731336        309356   985.757  
7785.08   150180   0.8565339947268238       305651   996.604  
7790.16   153721   0.8543941358143895       312321   964.028  
7795.25   152040   0.858309420128233        309877   989.372  
7800.36   154634   0.8582305365099782       315144   990.586  
7805.49   155101   0.8588123677629624       316243   992.584  
7810.64   155390   0.8601286040320569       317166   1012.97  
7815.81   155775   0.861156105001814        318213   1079.45  
7821      156204   0.8607388631092762       318983   1030.2   
7826.21   156819   0.863162212335906        320859   1029.15  
7831.43   157534   0.862520631020042        322157   1080.3   
7836.68   158442   0.8637047456055245       324320   1037.24  
7841.95   159746   0.8642295554345643       327126   1020.84  
7847.23   160626   0.8641148915375575       328898   1055.66  
7852.53   161823   0.8638612383975188       331282   1073.02  
7857.85   162987   0.8628951898363222       333408   1078.16  
7863.19   163977   0.8640270202316042       335736   1054.63  
7868.55   164749   0.864668176321974        337489   1070.77  
7873.93   165274   0.864970509037666        338646   1024.71  
7879.33   165964   0.8657872772184743       340281   1050.12  
7884.75   166595   0.8671087810950181       341934   1059.42  
7890.19   166959   0.869061140214881        343213   1021.43  
7895.64   167325   0.86983622220132         344177   1024.48  
7901.11   167749   0.8708074802071553       345315   1080.74  
7906.61   168310   0.8720824847264186       346820   1145.12  
7912.12   168398   0.8737152768846717       347450   1153.22  
7917.65   168959   0.8752187463481699       349022   1168.4   
7923.2    168532   0.8771534924501463       348672   1128.35  
7928.77   169462   0.8789216898926842       351085   1123.22  
7934.36   170014   0.8805343489068114       352676   1058.66  
7939.97   168870   0.8824327213111928       350826   1099.37  
7945.6    170996   0.8827275089053433       355325   1082.1   
7951.24   171518   0.8835039175642221       356627   1124.04  
7956.91   171324   0.8851721571281187       356690   1111.59  
7962.59   172540   0.8850312718619686       359182   1108.58  
7969.46   173115   0.8868721112590723       360899   1125.84  
