  9809     SPring-8 14b2 
 Fe-K_FePO4_Si1  20.05.26 16:04 - 20.05.26 16:08
 FePO4                                                                           
 Ring :   8.0 GeV    99.5 mA -   99.6 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.07739 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4415
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       16.95500  13.23500    -0.000850       0.05      4415
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    47.200   101.900
  16.66345  16.66844     0.050     28782     16515
  16.66260  16.66754     0.050     28792     16523
  16.66175  16.66668     0.050     28800     16538
  16.66090  16.66585     0.050     28799     16538
  16.66005  16.66509     0.050     28797     16553
  16.65920  16.66438     0.050     28821     16569
  16.65835  16.66364     0.050     28814     16575
  16.65750  16.66289     0.050     28820     16580
  16.65665  16.66208     0.050     28821     16592
  16.65580  16.66116     0.050     28835     16598
  16.65495  16.66022     0.050     28836     16606
  16.65410  16.65930     0.050     28836     16615
  16.65325  16.65835     0.050     28844     16626
  16.65240  16.65745     0.050     28835     16625
  16.65155  16.65660     0.050     28843     16637
  16.65070  16.65578     0.050     28848     16646
  16.64985  16.65502     0.050     28856     16654
  16.64900  16.65431     0.050     28850     16655
  16.64815  16.65357     0.050     28855     16664
  16.64730  16.65281     0.050     28867     16680
  16.64645  16.65199     0.050     28860     16674
  16.64560  16.65105     0.050     28868     16688
  16.64475  16.65012     0.050     28882     16704
  16.64390  16.64919     0.050     28874     16703
  16.64305  16.64825     0.050     28880     16710
  16.64220  16.64736     0.050     28898     16733
  16.64135  16.64651     0.050     28889     16734
  16.64050  16.64570     0.050     28889     16739
  16.63965  16.64495     0.050     28901     16754
  16.63880  16.64423     0.050     28911     16763
  16.63795  16.64350     0.050     28896     16767
  16.63710  16.64274     0.050     28909     16782
  16.63625  16.64191     0.050     28918     16789
  16.63540  16.64098     0.050     28916     16794
  16.63455  16.64006     0.050     28920     16806
  16.63370  16.63914     0.050     28934     16821
  16.63285  16.63820     0.050     28938     16826
  16.63200  16.63732     0.050     28931     16829
  16.63115  16.63647     0.050     28945     16848
  16.63030  16.63565     0.050     28952     16857
  16.62945  16.63492     0.050     28943     16858
  16.62860  16.63420     0.050     28950     16869
  16.62775  16.63346     0.050     28965     16886
  16.62690  16.63271     0.050     28957     16886
  16.62605  16.63187     0.050     28963     16893
  16.62520  16.63094     0.050     28968     16901
  16.62435  16.63001     0.050     28975     16914
  16.62350  16.62909     0.050     28966     16916
  16.62265  16.62815     0.050     28978     16931
  16.62180  16.62727     0.050     28989     16943
  16.62095  16.62642     0.050     28980     16949
  16.62010  16.62561     0.050     28990     16963
  16.61925  16.62488     0.050     29004     16972
  16.61840  16.62416     0.050     29007     16979
  16.61755  16.62341     0.050     28992     16981
  16.61670  16.62265     0.050     29006     16991
  16.61585  16.62180     0.050     29011     16996
  16.61500  16.62086     0.050     29014     17014
  16.61415  16.61993     0.050     29011     17017
  16.61330  16.61901     0.050     29017     17023
  16.61245  16.61808     0.050     29023     17037
  16.61160  16.61720     0.050     29013     17038
  16.61075  16.61636     0.050     29015     17046
  16.60990  16.61555     0.050     29014     17059
  16.60905  16.61482     0.050     29009     17054
  16.60820  16.61410     0.050     29013     17060
  16.60735  16.61336     0.050     29018     17073
  16.60650  16.61260     0.050     29006     17080
  16.60565  16.61175     0.050     29008     17081
  16.60480  16.61081     0.050     29012     17089
  16.60395  16.60989     0.050     29011     17094
