# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Mehrnaz Mikhchian
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Iron (III) Phospahte-x2H2O
# Scan.number:scan1
# Sample.id:3q20lp
# Scan.start_time:2024-05-10
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:SXRMB
# Beamline.scan_type:XAFS
# Beamline.scan_mode:TEY
# Beamline.website:https://sxrmb.lightsource.ca/
# Beamline.detector:Sample Current
# Beamline.energy_range:1.7 - 10.0
# Beamline.flux:1E11 ph/s
# Mono.name:InSb(111), Si(111)
# Element.edge:K
# Beamline_scan_mode:TEY
# Column.1:Energy
# Column.2:I0
# Column.6:TEY
# Column.7:Ifluor
# Column.5:Mufluor
# Energy  I0       TEY      Ifluor    Mufluor                  
7149.4    58920    0.770775187197639         58586    266.907  
7149.75   58923    0.7657446687408803        58358    231.072  
7150.1    58991    0.7584931389121881        58092    211.623  
7150.45   58909    0.754893354565307         57846    221.801  
7150.8    58902    0.750337223265155         57630    211.572  
7151.15   58941    0.7435408962880387        57356    235.053  
7151.5    58926    0.7386757002032635        57118    212.537  
7152      58939    0.7288648396850231        56680    252.325  
7153.24   59358    0.7079387988551095        56115    235.888  
7154.51   59740    0.6858966169279507        55450    248      
7155.79   60239    0.6630350059011294        54840    214.175  
7157.09   60752    0.6420804634635845        54315    227.36   
7158.41   61159    0.6254649223878948        53887    210.939  
7159.75   61620    0.6110706207929032        53602    241.425  
7161.11   62083    0.6027042622517049        53600    216.925  
7162.49   62624    0.5983994199621048        53857    221.993  
7163.88   63104    0.5995625701092471        54327    217.91   
7165.3    63641    0.6043553979781114        55027    208.753  
7166.73   64122    0.6153846158954932        55994    234.246  
7168.19   64606    0.6282429466922826        57064    233.292  
7169.66   65071    0.6432759773423039        58237    225.232  
7171.15   65607    0.6571301371722207        59425    262.021  
7172.66   66128    0.6731223384747484        60721    240.708  
7174.19   66588    0.6913845036502437        62091    234.659  
7175.74   67159    0.7090318565587921        63547    286.875  
7177.31   67670    0.7225810463194013        64745    301.253  
7178.9    68159    0.7303405821080082        65625    280.909  
7180.5    68695    0.7362983577220672        66460    239.072  
7182.13   69244    0.7397984502266727        67180    271.765  
7183.77   69787    0.7432404859549003        67894    273.875  
7185.44   70359    0.745493273257084         68574    276.903  
7187.12   70908    0.7471750535816357        69202    311.628  
7188.82   71444    0.7497596930584437        69869    307.573  
7190.54   72036    0.7511679249219854        70527    272.823  
7192.28   72603    0.7532691010356225        71201    284.091  
7194.04   73188    0.7535197764331201        71789    305.529  
