# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Matthew Newville
# Publication.affiliation: Center for Advanced Radiation Sources, University of Chicago
# Sample.reference:none
# Facility.name:APS
# Sample.temperature:r.t.
# Sample.prep:powder on tape, 4 layers
# Sample.formula:FeO
# Sample.smiles:[Fe]=O
# Publication.DOI: https://doi.org/10.71622/XASLIB_535X-8J62
# Sample.name:Iron (II) Oxide
# Scan.number:Scan1
# Sample.id:wdf05o
# Scan.start_time:2001-08-10
# Element.symbol:Fe
# Facility.energy:7.0 GeV
# Facility.xray_source:Bending Magnet
# Beamline.name:20-BM-B
# Beamline.website:https://www.aps.anl.gov/Beamlines/Directory/Details?beamline_id=32
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:1.4 x 10^-4
# Beamline.flux:1 x 10^11 ph/s at 10 keV (toroidal focus); 2 x 10^8 ph/s at 5 µm (KB mirror)
# Beamline.spot_size:30 mm x 1 mm
# Beamline.energy_range:3.9 - 35
# Beamline.detector:Ionization chamber
# Mono.name:Si(111)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Mutrans
# Energy   I0         Itrans         Mutrans
7136.3141  280310     89385.201182   0.6445594222013307
7136.757   280299     90385.204825   0.6389435669131083
7137.2322  280348     91158.202728   0.634747985256643
7137.6428  280287     91499.204496   0.6327604271001752
7138.0533  280265     91596.199822   0.6321880119572576
7138.3667  280233     91505.199883   0.6326305522383153
7138.6801  280231     91135.204085   0.6346649397916326
7139.1016  280223     90279.202182   0.6393974247202057
7139.588   280226     89172.198987   0.6456087325961971
7139.9664  280223     88050.200738   0.6519724497724841
7140.3015  280225     86871.19913    0.6587567763875617
7140.6043  280199     85700.200488   0.6655365256933458
7141.1017  280261     84138.202258   0.6749002414463068
7141.5451  280234     83056.206756   0.6813621947219548
7141.967   280277     82322.206892   0.6859043440691126
7142.3456  280266     81973.207183   0.6880215758891683
7142.681   280215     81859.20552    0.688630056196873
7143.0165  280222     82024.201681   0.6876297884058459
7143.5034  280148     82681.207148   0.6834840038501745
7143.9688  280235     83590.204058   0.678140372700056
7144.3693  280259     84631.206996   0.6719579370887916
7144.6616  280184     85535.203685   0.6664789483686288
7145.0081  280209     86716.203101   0.6596263142183952
7145.5061  280141     88270.20733    0.6505699823789949
7145.9285  280171     89686.201791   0.6426189449377068
7146.1342  280202     90325.20726    0.6391034709354789
7147.1308  281607.47  93749.051824   0.622906033865555
7148.3769  282953.53  97323.441422   0.6064831517508185
7149.4825  284295.16  99864.362896   0.5958986525616777
7150.7729  285557.34  101887.783873  0.588037099002537
7151.9661  286899.06  103419.729     0.582888330442684
7153.2031  288155.28  104645.149858  0.5791609421198537
7154.5382  289438.03  105483.043552  0.5773836383799312
7155.711   290658.28  105780.403655  0.5780838157711347
7157.058   291973     105466.222127  0.5818500860761926
7158.3621  293176.19  104643.481602  0.5878579300454907
7159.6775  294404.84  103783.170839  0.5941139547050454
7161.1349  295627.97  102666.277705  0.6016419180027958
7162.3752  296860.5   101656.79974   0.6087049574747598
7163.8554  297949.5   99713.722864   0.6202542628818939
7165.2383  299143.88  96455.036973   0.6389794811893926
7166.5673  300242.69  92691.735395   0.6608419670428668
7168.1256  301310.91  88956.817489   0.6833159512158116
7169.652   302427.5   86047.25132    0.7019035484432867
7171.0481  303495.5   84143.046361   0.7149330349025869
7172.5757  304598.88  83137.200696   0.7228075155898369
7174.1587  305727.59  82910.695997   0.7260402527293254
7175.6768  306769.69  83477.52806    0.7243247175117113
7177.2065  307837.12  84982.691974   0.7170832132851481
7178.9337  308895.94  87575.182799   0.70369513741331
7180.5524  309864.06  90368.98165    0.6894731864778576
7182.1171  310682.53  92962.100347   0.6765697520751602
7183.6825  310947.31  95184.525051   0.6651146084555066
7185.4567  291081.44  90887.23757    0.6551438207914868
7187.2319  313204.84  99755.253134   0.6451613635031256
7188.9312  315022.59  102204.545218  0.6358711864960606
7190.5875  316211.62  104251.12719   0.6277933928020429
7192.3105  317246.97  106073.988541  0.6207185328072916
7194.1551  318316.56  107389.118488  0.6162135552334181
7196.0336  319271.47  107903.51455   0.6153166038462727
7197.8472  320241.66  107710.179652  0.6177448411836224
7199.5848  321266.12  107188.087022  0.6217954579555277
7201.3452  322265.88  106610.266862  0.6260772036813992
7203.3158  323200.88  106223.689554  0.629361699628472
7205.3535  324151.12  106428.343404  0.6298702336382815
7207.2492  325150.66  107009.246236  0.6286808877689537
7209.1459  325885.44  107485.38755   0.6275831383855693
7211.1209  326697.44  107722.770023  0.6277252361662835
7213.075   327662.72  107680.368347  0.6294072715173579
7215.0412  328640.22  107255.19514   0.6328956337655913
7217.0748  329532.97  106548.247383  0.6375865708127711
7219.0322  330473.94  105886.50426   0.6421545744108962
7221.201   331416.12  105659.974029  0.6446638452092928
7223.3269  332369.56  106283.673258  0.6431484037916845
7225.454   333202.22  107601.573684  0.6382081794501708
7227.5271  334086.09  109398.667983  0.6312092726072774
7229.6901  334967.16  111553.968606  0.622720627695987
7231.91    335961.47  113909.466658  0.6137010652298085
7234.0757  336863.97  116076.168313  0.6055726193354366
7236.2428  337815.69  117648.051229  0.6002258695836198
7238.4892  338886.59  118286.128677  0.599097185636849
7240.7815  329086.72  113701.387365  0.604221105941481
7243.0196  335643     114704.837113  0.6097240375044557
7245.2257  339365.53  114222.464075  0.6173917344799723
7247.5225  338137.22  112540.278584  0.6230307781168319
7249.8877  341598.09  113091.256288  0.6256962810234351
7252.2322  342507.16  113497.415143  0.6252298481964901
7254.4441  343352.41  114168.731399  0.6235032469567142
7256.8923  344216.84  114896.233958  0.6215729806102915
7259.208   344988.47  115309.90111   0.6208915651538828
7261.6595  345766.25  115436.727813  0.6214713744090129
7263.9447  346708.22  115465.716801  0.6227135353835459
7266.3884  347433.34  115487.860353  0.6236679797823615
7268.9011  348203.62  115646.164523  0.6240929150300895
7271.3707  348895.09  116001.633777  0.6235470583441779
7273.9207  349891.75  116832.247153  0.6213930571536893
7276.5063  349788.53  117644.018439  0.6177617923168394
7279.0825  350767.47  119155.93641   0.6127443573212127
7281.4918  351364.59  120790.000206  0.6067487865770714
7284.128   351945.88  122725.212785  0.5995853984069575
7286.6761  352112.28  124600.57262   0.592194955584187
7289.1808  350398.84  125688.06321   0.5853702379870958
7291.902   350983.59  127508.696515  0.578975083249688
7294.6478  355958.44  130305.485528  0.5751409581111131
7297.3619  355658.47  130613.400196  0.5735296949981628
7299.8969  353997.62  129967.444211  0.5736690765779617
7302.5698  357607.94  130744.631997  0.5757741357725116
7305.324   358382.41  130288.953181  0.5786184555394187
7308.1031  358969.97  129742.385704  0.5815569873931243
7310.9298  359729.72  129279.958233  0.5844164474877263
7313.6451  360319.56  129012.668424  0.5862815752022974
7316.3398  360879.56  128969.491173  0.5872310901965282
7319.1731  361472.69  129149.441152  0.587355784144667
