# XDI/1.0
# Spectrum.license: CC BY-NC-SA 4.0
# Facility.name: ESRF
# Beamline.name: BM30B (FAME) / FAME-UHD
# Beamline.scan_mode: Fluorescence HERFD
# Beamline.detector: Crystal Analyzer Spectrometer Ge(620)
# Sample.name: Iron (II) Oxide (FeO)
# Sample.formula: FeO
# Sample.temperature: 295 K
# Sample.prep: Synthetic FeO in cellulose pellet
# Element.symbol: Fe
# Element.edge: K
# Publication.DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_SOC_20181115_004
# Database.name: SSHADE / FAME
# Database.spectrum_uid: SPECTRUM_SOC_20181115_004H
# Column.1: Energy
# Column.2: Ifluor_HERFD
# Column.3: Mufluor
# Energy       Ifluor_HERFD    Mufluor
   7148.0602      225.829620      1.006474
   7148.2502      224.481940      0.999920
   7148.4802      223.630080      0.995777
   7148.6502      223.263450      0.993994
   7148.8402      221.470610      0.985274
   7149.0602      223.186870      0.993621
   7149.2602      221.007140      0.983020
   7149.4602      219.416650      0.975284
   7149.6702      220.805240      0.982038
   7149.8602      217.907800      0.967946
   7150.0502      218.672330      0.971664
   7150.2402      217.234120      0.964670
   7150.4702      218.678940      0.971696
   7150.6702      219.061860      0.973559
   7150.8402      218.657380      0.971592
   7151.0802      217.717740      0.967022
   7151.2402      219.079830      0.973646
   7151.4302      217.103080      0.964032
   7151.6702      216.896780      0.963029
   7151.8702      217.702750      0.966949
   7152.0502      214.123960      0.949543
   7152.2602      217.398600      0.965469
   7152.4502      215.311300      0.955318
   7152.6502      215.687820      0.957149
   7152.8502      214.873050      0.953186
   7153.0702      215.236270      0.954953
   7153.2702      215.908280      0.958221
   7153.4402      216.282970      0.960044
   7153.6702      215.002710      0.953817
   7153.8502      213.993140      0.948907
   7154.0402      212.754850      0.942884
   7154.2702      212.630000      0.942277
   7154.4702      212.517890      0.941732
   7154.6602      212.169510      0.940037
   7154.8402      212.136540      0.939877
   7155.0602      212.549510      0.941886
   7155.2602      212.052310      0.939467
   7155.4602      214.854710      0.953097
   7155.6702      211.687690      0.937694
   7155.8602      212.523470      0.941759
   7156.0402      214.151330      0.949676
   7156.2802      210.705070      0.932915
   7156.4302      213.348490      0.945771
   7156.6602      212.517390      0.941729
