# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Matthew Newville
# Publication.affiliation: Center for Advanced Radiation Sources, University of Chicago
# Sample.reference:none
# Facility.name:APS
# Sample.temperature:r.t.
# Sample.prep:powder on tape, 4 layers
# Sample.formula:FeS2
# Publication.DOI: https://doi.org/10.71622/XASLIB_535X-8J62
# Sample.name:Pyrite
# Scan.number:Scan2
# Sample.id:621h02
# Scan.start_time:2002-03-16
# Element.symbol:Fe
# Facility.energy:7.0 GeV
# Facility.xray_source:Bending Magnet
# Beamline.name:13-BM-D (GSECARS)
# Beamline.website:https://gsecars.uchicago.edu/gsecars-facility/sector-13-beamlines/13-bmd/
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:1 x 10^-4
# Beamline.flux:1 x 10^9 ph/s at 10 keV
# Beamline.spot_size:50 mm x 4 mm
# Beamline.energy_range:4.5 - 100.0
# Beamline.detector:Ionization chamber
# Mono.name:Si(111)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.5:Mutrans
# Energy    I0       Itrans          Mutrans               
7821.788    305834   191458.399703   0.13172723211844464   
7827.001    305216   191922.39981    0.1275469548552978    
7832.234    306347   193559.400832   0.1230361932193878    
7837.485    305718   194076.400475   0.11859299046610929   
7842.756    305672   194980.400184   0.11407938761780047   
7848.046    305591   195960.399725   0.10911329740192596   
7853.354    305721   197142.400214   0.10385572840534281   
7858.683    305761   198180.400799   0.09903827524821741   
7864.03     305543   199089.400298   0.09406193971963424   
7869.396    305580   200203.400074   0.08892630786627538   
7874.781    305561   201189.399679   0.08424575057716177   
7880.185    305567   202118.400579   0.07993003568425412   
7885.608    305548   203311.40039    0.07433480401288939   
7891.051    305485   204440.399409   0.06893094055307292   
7896.512    305410   205458.399145   0.06402689612653184   
7901.992    305454   206482.399112   0.05948514452937115   
7907.492    305471   207515.400824   0.05484254853734854   
7913.011    305389   208461.400332   0.05031089172861561   
7918.548    305311   209491.400173   0.045433556624326035  
7924.105    305383   210545.399938   0.040933877621250135  
7929.681    305224   211626.399444   0.03562593816975161   
7935.276    305309   212879.40007    0.03033402055483283   
7940.89     304801   213654.399645   0.025348512219391793  
7946.523    305709   215465.399845   0.020206078379276102  
7952.175    305185   216279.399951   0.015044593328172115  
7957.847    305134   217407.400357   0.009993388898879097  
7963.537    305037   218439.400043   0.00523899759293974   
7969.247    305340   219877.400338   0                     
