# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Matthew Newville
# Publication.affiliation: Center for Advanced Radiation Sources, University of Chicago
# Sample.reference:none
# Facility.name:APS
# Sample.temperature:r.t.
# Sample.prep:powder on tape, 16 layers
# Sample.formula:Fe2O3
# Sample.smiles:O1[Fe]2O[Fe]1O2
# Publication.DOI: https://doi.org/10.71622/XASLIB_535X-8J62
# Sample.name:Iron (III) Oxide
# Scan.number:Scan2
# Sample.id:gbfxgi
# Scan.start_time:2001-08-10
# Element.symbol:Fe
# Facility.energy:7.0 GeV
# Facility.xray_source:Bending Magnet
# Beamline.name:20-BM-B
# Beamline.website:https://www.aps.anl.gov/Beamlines/Directory/Details?beamline_id=32
# Beamline.scan_mode:Transmission
# Beamline.energy_resolution:1.4 x 10^-4
# Beamline.flux:1 x 10^11 ph/s at 10 keV (toroidal focus); 2 x 10^8 ph/s at 5 µm (KB mirror)
# Beamline.spot_size:30 mm x 1 mm
# Beamline.energy_range:3.9 - 35
# Beamline.detector:Ionization chamber
# Mono.name:Si(111)
# Element.edge:K
# Column.1:Energy
# Column.2:I0
# Column.3:Itrans
# Column.4:Mutrans
# Energy   I0         Itrans         Mutrans
7263.9671  334819.22  58459.712652   0.57986514369441
7266.4108  335600.34  58198.86121    0.5834318544323347
7268.9235  336354.62  58113.170218   0.5853816087680871
7271.3819  337018.09  58167.635467   0.5859236703599907
7273.9319  337986.75  58359.251239   0.5857041296418458
7276.5175  337914.53  58469.017215   0.584606793120516
7279.1163  338759.47  58810.936207   0.5828589092785997
7281.5255  339357.59  59251.001877   0.5798750012679261
7284.1619  339851.88  59765.213379   0.576107311419197
7286.6986  339970.28  60304.57081    0.5715792252423805
7289.2034  338239.84  60599.062923   0.566349206535478
7291.9246  339493.59  61525.699533   0.5603320502162429
7294.6704  343904.44  63029.478401   0.5544391097923624
7297.3845  343559.47  63596.397536   0.5492177951091699
7299.9196  341957.62  63840.437823   0.5447591314125763
7302.5924  345273.94  64920.622475   0.5410220629517124
7305.3353  346102.41  65494.941714   0.5376605260393545
7308.1258  346795.97  65989.380285   0.5347666994551818
7310.9638  347440.72  66413.959015   0.5323778112700291
7313.6792  348088.56  66757.665535   0.5306480171169538
7316.3739  348708.56  66964.491528   0.5299591406229064
7319.1503  348867.69  67000.443487   0.5299169313398258
7322.1113  349570.97  67086.524895   0.5302996463323244
7325.0177  350435.34  67210.716742   0.5306247889041993
7327.721   351101.88  67323.040808   0.5307455965941918
7330.5636  350881.53  67391.476273   0.5298836882518765
7333.6712  351337.31  67721.02948    0.5280065024305978
7336.427   353117.19  68427.704888   0.5252129294530368
7339.2995  353724.22  68968.492507   0.5219859379116588
7342.4148  354248.38  69567.38878    0.518228839703174
7345.3495  354734.62  70196.402314   0.5142283957981354
7348.321   355110.03  70811.526075   0.510208289183021
7351.3754  356458.53  71639.765774   0.5060983633110704
7354.421   356814.16  72196.111421   0.5025650005302192
7357.4462  357453.88  72741.557181   0.49955770699830004
7360.5315  357994.72  73206.106359   0.4970125133728536
7363.6426  358525.69  73604.783525   0.49494184648462236
7366.7565  359138.75  73912.54752    0.4936498229174626
7369.9192  359697.94  74177.422411   0.4925899241904859
7373.0501  357296.25  73805.3904     0.4917135965323602
7376.1838  360540.62  74675.467699   0.49030810601838526
7379.5287  361153.16  75059.650265   0.4885075261097942
7382.6217  361438.75  75383.920351   0.4866616433241605
7385.7406  350053.47  73236.286419   0.4850342525704257
7389.199   363692.31  76282.763464   0.483705735010499
7392.3237  363935.25  76497.324564   0.48258312535063685
7395.6489  364442.25  76759.994745   0.48151572858376995
7398.9772  364881.41  77049.748426   0.4801716381527899
7402.1221  365490.62  77453.597522   0.47830525371411736
7405.6081  366148.97  77957.536332   0.475848411202978
7408.8056  366636.38  78462.567718   0.4731600730488419
7412.3449  367157.91  79056.700905   0.4699499652190042
7415.6655  367637.53  79663.911576   0.46662256277184966
7419.0593  368127.25  80287.22091    0.46323396996742416
7422.4681  368694.06  80932.606874   0.4598426506026999
7425.9741  369290.97  81581.087959   0.45650628195789406
7429.3895  368764.97  81947.65612    0.4534081729298594
7432.8904  370326.03  82743.302945   0.4505567653666365
7436.4419  336964.22  75715.050063   0.44759902186561773
7439.8202  368999.5   83255.866015   0.4454371200064857
7443.52    370701.84  83988.77624    0.44325492622437135
7446.9758  371376.31  84431.753843   0.4414498370036226
7450.6003  371978.84  84864.831316   0.43961721999252223
7454.2757  372590.47  85283.984408   0.43789529093379126
7457.7656  373195.16  85746.211128   0.4359114021348532
7461.4839  373804.97  86271.525071   0.43356498540009286
