*Spectrum*
- Title: Fe K edge XAS transmission of natural hematite Fe2O3 at ambient conditions
- Version: #1 (2018-01-31 23:51:01 UTC)
- Measurement type: laboratory measurement (spectrum)
- Spectrum type: transmission (AU)
- Spectral unit: Energy (eV)
- Valid spectral range(s): 7004.290158-7963.25018 eV (Resol. 0.36 eV)
- Observation geometry: 
- Spatial observation mode: single spot
- Data analysis: raw averaged spectra
- Quality flag: 4
- File name: XAS_trans_Fe2O3.data.txt
- Comments: 

*Sample*
- Name: Pellet of natural hematite Fe2O3 mixed with BN
- Origin(s): natural terrestrial; commercial
- Type: pellet
- Temperature: 293.0 +/- 2.0 K
- Pressure: 

*Experiment*
- Title: Fe K edge XAS transmission of natural hematite Fe2O3 at ambient conditions
- Version: #1 (2018-01-31 23:51:01 UTC)
- Experimentalist(s): Testemale Denis; Sanchez-Valle Carmen
- Database(s): FAME @ SSHADE
- DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20170706_002

*Data reference*
- Testemale, Denis; Sanchez-Valle, Carmen (2016): Fe K edge XAS transmission of natural hematite Fe2O3 at ambient conditions. SSHADE/FAME (OSUG Data Center). Dataset/Spectral Data. https://doi.org/10.26302/SSHADE/EXPERIMENT_DT_20170706_002




energy(ev)	transmission(au)
7617.120172	-0.03399
7621.510172	-0.03726
7625.920173	-0.04034
7630.340173	-0.04423
7634.740173	-0.04801
7639.210173	-0.05258
7643.690173	-0.05749
7648.180173	-0.06219
7652.670173	-0.06637
7657.210173	-0.07054
7661.770173	-0.07470
7666.310173	-0.07902
7670.880174	-0.08261
7675.520174	-0.08683
7680.150174	-0.09093
7684.730174	-0.09460
7689.430174	-0.09815
7694.090174	-0.10220
7698.820174	-0.10565
7703.450174	-0.10961
7708.290174	-0.11309
7712.970174	-0.11693
7717.760175	-0.12111
7722.540175	-0.12531
7727.390175	-0.12972
7732.160175	-0.13410
7737.020175	-0.13843
7741.900175	-0.14264
7746.810175	-0.14689
7751.680175	-0.15117
7756.610175	-0.15561
7761.550176	-0.15969
7766.560176	-0.16470
7771.450176	-0.16884
7776.500176	-0.17317
7781.490176	-0.17700
7786.550176	-0.18066
7791.580176	-0.18484
7796.710176	-0.18886
7801.750176	-0.19257
7806.840177	-0.19663
7812.030177	-0.20062
7817.180177	-0.20478
7822.290177	-0.20863
7827.520177	-0.21294
7832.700177	-0.21705
7837.940177	-0.22101
7843.190177	-0.22505
7848.470178	-0.22945
7853.730178	-0.23369
7859.040178	-0.23760
7864.370178	-0.24198
7869.720178	-0.24627
7875.030178	-0.25039
7880.470178	-0.25471
7885.820178	-0.25859
7891.230179	-0.26292
7896.670179	-0.26679
7902.140179	-0.27085
7907.560179	-0.27484
7913.050179	-0.27900
7918.570179	-0.28303
7924.080179	-0.28730
7929.560179	-0.29146
7935.170180	-0.29550
7940.780180	-0.29974
7946.340180	-0.30350
7952.010180	-0.30655
7957.610180	-0.31137
